ejecucion_id,marca,punto_venta_id,punto_venta,estado,cadena,fecha,cant_agotados,cant_preagotados,producto_en_riesgo,inventario,marca_producto
11748,FAGE,1053125,SC CD JARDIN,México,WALMART,2025-08-14,7,,YOG FAGE GRIEGO NATURAL 5% GRASA 150G,12.00,FAGE
11789,CALIFIA,1056840,SC LAS AMERICAS,Mexico,WALMART,2025-08-14,1,1,CREAMER CALIFIA DE ALMENDRA AVELLANA 750 ML,3.00,CALIFIA
11877,FAGE,1056823,SC PLAZA EDUARDO MOLINA,DISTRITO FEDERAL,WALMART,2025-08-14,1,1,YOG FAGE GRIEGO 2% MIXED BERRIES 5.3oz (150g),12.00,FAGE
12036,FAGE,1053139,SC PERIFERICO CUAUTITLAN,México,WALMART,2025-08-14,15,1,YOG FAGE GRIEGO DURAZNO  2% 150 G,1.00,FAGE
20643,FAGE,1053152,WE ORADORES,Mexico,WALMART,2025-08-14,9,,FAGE CREAMY DREAMY CREMA DE PLATANO 4.4OZ,12.00,FAGE
20643,FAGE,1053152,WE ORADORES,Mexico,WALMART,2025-08-14,9,,FAGE CREAMY DREAMY  CREMA DE COCO 4.4OZ,12.00,FAGE
20645,CALIFIA,1053152,WE ORADORES,Mexico,WALMART,2025-08-14,4,1,CALIFIA FARMS ALMENDRA-VAINILLA 1.4 LT  ,3.00,CALIFIA
20691,FAGE,1056973,WE DIVISION DEL NORTE,Distrito Federal,WALMART,2025-08-14,14,,YOG FAGE GRIEGO 2% MIXED BERRIES 5.3oz (150g),24.00,FAGE
20691,FAGE,1056973,WE DIVISION DEL NORTE,Distrito Federal,WALMART,2025-08-14,14,,YOG FAGE GRIEGO DURAZNO  2% 150 G,10.00,FAGE
20694,CALIFIA,1056973,WE DIVISION DEL NORTE,Distrito Federal,WALMART,2025-08-14,1,,CALIFIA FARMS ALMENDRA-VAINILLA 1.4 LT  ,12.00,CALIFIA
20694,CALIFIA,1056973,WE DIVISION DEL NORTE,Distrito Federal,WALMART,2025-08-14,1,,CREAMER CALIFIA DE ALMENDRA AVELLANA 750 ML,6.00,CALIFIA
23648,LIFEWAY,1053098,SAMARA SANTA FE,Distrito Federal,CHEDRAUI,2025-07-30,1,5,KEFIR LOW FAT FRAMBUESA 8 OZ,59.00,LIFEWAY
26914,CALIFIA,1056578,PABELLON BOSQUES,Distrito Federal,LA COMER,2025-08-14,12,,CALIFIA BEBIDA DE AVENA SIN AZUCAR 1.4 LT,12.00,CALIFIA
26966,FAGE,1053144,FRESKO SATELITE,México,LA COMER,2025-08-14,3,,YOG FAGE GRIEGO NATURAL S GRASA 454G,240.00,FAGE
29184,FAGE,1056640,BOSQUE REAL,México,LA COMER,2025-08-14,3,15,YOG FAGE GRIEGO NATURAL 5% GRASA 454G,48.00,FAGE
29234,CALIFIA,1056632,EL REFUGIO,Querétaro,LA COMER,2025-08-14,4,,CALIFIA BEBIDA DE AVENA SIN AZUCAR 1.4 LT,1.00,CALIFIA
42651,FAGE,1056675,HEB EL REFUGIO,Querétaro,HEB,2025-08-14,11,,YOG FAGE GRIEGO 2% MIXED BERRIES 5.3oz (150g),1.00,FAGE
42651,FAGE,1056675,HEB EL REFUGIO,Querétaro,HEB,2025-08-14,11,,YOG FAGE GRIEGO MIEL  2% 150 G,12.00,FAGE
42651,FAGE,1056675,HEB EL REFUGIO,Querétaro,HEB,2025-08-14,11,,YOG FAGE GRIEGO DURAZNO  2% 150 G,12.00,FAGE
76229,FAGE,1056984,WE LA NORIA,Puebla,WALMART,2025-10-01,6,0,YOG FAGE GRIEGO DURAZNO  2% 150 G,2.00,FAGE
76229,FAGE,1056984,WE LA NORIA,Puebla,WALMART,2025-10-01,6,0,YOG FAGE GRIEGO FRESA  2% 150 G,12.00,FAGE
76229,FAGE,1056984,WE LA NORIA,Puebla,WALMART,2025-10-01,6,0,YOG FAGE GRIEGO NATURAL 5% GRASA 454G C12,12.00,FAGE
76378,FAGE,1056751,SC LA CRUZ,Quintana Roo,WALMART,2025-10-01,1,1,YOG FAGE GRIEGO NATURAL S GRASA 454G C12,19.00,FAGE
76378,FAGE,1056751,SC LA CRUZ,Quintana Roo,WALMART,2025-10-01,1,1,YOG FAGE GRIEGO FRESA  2% 150 G,16.00,FAGE
76378,FAGE,1056751,SC LA CRUZ,Quintana Roo,WALMART,2025-10-01,1,1,YOG FAGE GRIEGO NATURAL 5% GRASA 454G C12,12.00,FAGE
76389,FAGE,1056947,WE CHURUBUSCO,Distrito Federal,WALMART,2025-10-01,9,3,YOG FAGE GRIEGO CEREZA  2% 150 G,4.00,FAGE
